0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
RGM.72194.0;OtherSpecimen;;Petrology;;MOROCCO;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.72194.0;;;not applicable;DE SITTERL.U. CA.1950;plutonic rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1291894;OtherSpecimen;;Petrology;;INDONESIA;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1291894;;;not applicable;BROUWER H.A.;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.280747;OtherSpecimen;;Petrology;;SWEDEN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.280747;;;not applicable;HELLINGWERF R.H.;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.35890.0;OtherSpecimen;;Petrology;;ITALY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.35890.0;;;not applicable;TROMPS.W.;metamorphic rocks of unknown origin;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.63770.0;OtherSpecimen;;Petrology;;NETHERLANDS;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.63770.0;;;not applicable;;metamorphic rocks of plutonic origin;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1196465;OtherSpecimen;;Petrology;;;;;;;;;;;;Java;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1196465;;;thin section;;;;;;;;;;;;;;https://medialib.naturalis.nl/file/id/RGM.1196465/format/large;;;;;;;ICZN;WGS84
RGM.80638.0;OtherSpecimen;;Petrology;;GERMANY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.80638.0;;;not applicable;KORTENBOUT VAN DER SLUIJSG. 27.04.1956;groups of various minerals;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.313328.0;OtherSpecimen;;Petrology;;EGYPT;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.313328.0;;;not applicable;SCHÜRMANNH.M.E. 13.12.1957.32A;hypabyssal rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1022664;OtherSpecimen;;Petrology;;SWEDEN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1022664;;;not applicable;LAKEMAN R.;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.128527.0;OtherSpecimen;;Petrology;;SPAIN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.128527.0;;;not applicable;MUSEUMSTAF 1971;metamorphic rocks of sedimentary origin;;;;;;;;;;;;;;;;;;;ICZN;WGS84
