0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
RGM.1043472;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;;;;;;Badenweiler;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1043472;;;not applicable;;Pyromorphite 8.BN.05;;;;Baden-Württemberg;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1269877;OtherSpecimen;;Mineralogy;;Czech Republic;;;;;;;;;;;;;Zoptau, luàkven;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1269877;;;not applicable;;Serpentia;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.105854;OtherSpecimen;;Mineralogy;;Finland;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.105854;;;not applicable;;TRIPHYLITE;;;;;;genus;;;;;genus;;;DATE OLD: 10-09-1962;;;;;ICZN;WGS84
RGM.1326032;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;;;;;;Taunus, District Rhein-Lahn-Kreis, Bad Ems, Grube Friedrichssegen;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1326032;;;not applicable;Kijlstra E.;Cerussite 5.AB.15;;;;Rhineland Palatinate;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1038505;OtherSpecimen;;Mineralogy;;United States;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1038505;;;not applicable;;HALLOYSITE;;;;INDIANA;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.22872;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.22872;;;not applicable;;ARGENTITE;;;;HARZ;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.30378;OtherSpecimen;;Mineralogy;;Australia;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.30378;;;not applicable;;BIOTITE, SAGENITE, RUTILE;;;;SOUTH AUSTRALIA;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.851476;OtherSpecimen;;Mineralogy;;Unknown;;26-3-2019;;;;;Arike Gill;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.851476;;;not applicable;;Tourmaline in quartz;;;;;;genus;;;;;genus;https://medialib.naturalis.nl/file/id/RGM.851476/format/large;;;;;;;ICZN;WGS84
RGM.1069010;OtherSpecimen;;Mineralogy;;Bolivia;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1069010;;;not applicable;;Wavelliet;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1045208;OtherSpecimen;;Mineralogy;;Portugal;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1045208;;;not applicable;;Zwieseliet;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1070248;OtherSpecimen;;Mineralogy;;United States;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1070248;;;not applicable;;Rhodoniet;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.412503;OtherSpecimen;;Mineralogy;;;;;;;;;;4;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.412503;;;not applicable;;HEMATITE;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.98064;OtherSpecimen;;Mineralogy;;SPAIN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.98064;;;not applicable;;;;;;GALICIA;;;;;;;;;;;;;;;ICZN;WGS84
RGM.859984;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;;;;;;Freiberg;https://data.biodiversitydata.nl/naturalis/specimen/RGM.859984;;;not applicable;;Gedegen zilver met kalkspaat en ps. van zwavelkies en magneetkies;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.411077;OtherSpecimen;;Mineralogy;;Japan;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.411077;;;not applicable;;?? BAUXITE. CHECK IDENTIFICATION;;;;;;genus;;;;;genus;https://medialib.naturalis.nl/file/id/RGM.411077_1/format/large;;;;;;;ICZN;WGS84
RGM.309414.0;OtherSpecimen;;Mineralogy;;INDONESIA;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.309414.0;;;not applicable;REINWARDTC.G.C. 1816-1822R.156;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1061414;OtherSpecimen;;Mineralogy;;Sweden;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1061414;;;not applicable;;Lood;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.420987;OtherSpecimen;;Mineralogy;;NORWAY;;;;;;;;1;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.420987;;;not applicable;;CHROMITE;;;;TRONDHEIM;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1269391;OtherSpecimen;;Mineralogy;;Unknown;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1269391;;;not applicable;;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1525;OtherSpecimen;;Mineralogy;;;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1525;;;not applicable;;PYRITE;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1067369;OtherSpecimen;;Mineralogy;;Namibia;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1067369;;;not applicable;;Sodaliet;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1043107;OtherSpecimen;;Mineralogy;;;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1043107;;;not applicable;;Anhydriet;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.416113;OtherSpecimen;;Mineralogy;;Norway;;;;;;;;1;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.416113;;;not applicable;;MUSCOVITE;;;;MELAND;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.3022;OtherSpecimen;;Mineralogy;;;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.3022;;;not applicable;;CASSITERITE, ROCK CRYSTAL, MICA;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1062317;OtherSpecimen;;Mineralogy;;United States;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1062317;;;not applicable;;Serpentijn;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.129116;OtherSpecimen;;Mineralogy;;SPAIN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.129116;;;not applicable;;;;;;GALICIA;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1057196;OtherSpecimen;;Mineralogy;;;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1057196;;;not applicable;;Bazalt;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.105271;OtherSpecimen;;Mineralogy;;Norway;;;;;;;;3.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.105271;;;not applicable;;PYROCHLORE;;;;VESTHOLD;;genus;;;;;genus;;;DATE OLD: 12-05-1961;;;;;ICZN;WGS84
